time,lat,lng,accuracy,altitude,speed,satellites in view,satellites in use
794380,6.24394220,-75.55881420,89,0.00000,0.00000,0,0
795382,6.24383140,-75.55903340,119,0.00000,0.00000,0,0
796381,6.24383140,-75.55903340,119,0.00000,0.00000,0,0
797384,6.24383140,-75.55903340,119,0.00000,0.00000,0,0
798381,6.24383140,-75.55903340,119,0.00000,0.00000,0,0
799384,6.24390130,-75.55901500,33,0.00000,0.00000,0,0
800385,6.24390130,-75.55901500,33,0.00000,0.00000,0,0
801381,6.24390130,-75.55901500,33,0.00000,0.00000,0,0
802382,6.24390130,-75.55901500,33,0.00000,0.00000,0,0
803429,6.24390130,-75.55901500,33,0.00000,0.00000,0,0
804431,6.24404960,-75.55930080,33,0.00000,0.00000,0,0
805481,6.24404960,-75.55930080,33,0.00000,0.00000,0,0
806482,6.24404960,-75.55930080,33,0.00000,0.00000,0,0
807482,6.24404960,-75.55930080,33,0.00000,0.00000,0,0
808482,6.24404960,-75.55930080,33,0.00000,0.00000,0,0
809485,6.24404960,-75.55930080,33,0.00000,0.00000,0,0
810531,6.24404960,-75.55930080,33,0.00000,0.00000,0,0
811533,6.24404960,-75.55930080,33,0.00000,0.00000,0,0
812577,6.24433200,-75.55959320,29,0.00000,0.00000,0,0
813582,6.24433200,-75.55959320,29,0.00000,0.00000,0,0
814626,6.24433200,-75.55959320,29,0.00000,0.00000,0,0
815651,6.24433200,-75.55959320,29,0.00000,0.00000,0,0
816627,6.24433200,-75.55959320,29,0.00000,0.00000,0,0
817627,6.24433200,-75.55959320,29,0.00000,0.00000,0,0
818628,6.24433200,-75.55959320,29,0.00000,0.00000,0,0
819677,6.24433200,-75.55959320,29,0.00000,0.00000,0,0
820677,6.24467320,-75.56030010,34,0.00000,0.00000,0,0
821680,6.24467320,-75.56030010,34,0.00000,0.00000,0,0
822680,6.24467320,-75.56030010,34,0.00000,0.00000,0,0
823736,6.24467320,-75.56030010,34,0.00000,0.00000,0,0
824735,6.24467320,-75.56030010,34,0.00000,0.00000,0,0
825730,6.24467320,-75.56030010,34,0.00000,0.00000,0,0
826732,6.24484690,-75.56063550,34,1530.90002,0.00000,0,0
827731,6.24484690,-75.56063550,34,1530.90002,0.00000,0,0
828782,6.24484690,-75.56063550,34,1530.90002,0.00000,0,0
